"sample","putative species","nominal species","latitude","longitude","denominator","original reads","aligned reads","median coverage"
"SAMR_42708_Ct_pulc","C. pulchellus 1","C. pulchellus",-20.767,139.4833,4897615,3314392,2446120,26
"SAMR_42758_Ct_late","C. inornatus 1","C. lateralis",-22.667,142.933333,1772236,3595472,1296316,27
"SAMR_42772_Ct_pulc","C. pulchellus 1","C. pulchellus",-22.967,142.9,4120365,3147510,2100184,30
"SAMR_42801_Ct_asta","C. astarte","C. astarte",-23.667,140.966667,3500180,861048,607073,10
"SAMR_42881_Ct_stra","C. strauchii 2","C. strauchii",-24.117,143.4167,4223429,7800490,4881852,45
"SAMR_42918_Ct_saxa","C. inornatus 1","C. saxatilis",-25.367,141.933333,396278,244696,79363,7
"SAMR_44378_Ct_pant","C. pantherinus","C. pantherinus",-26.297,130.151667,4029181,3350512,1726809,28
"SAMR_44387_Ct_dux","C. dux","C. dux",-26.247,130.1122,5126832,4343114,2912413,36
"SAMR_44403_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-26.503,130.428611,3941354,1986206,1252929,20
"SAMR_44903_Ct_stra","C. strauchii 1","C. strauchii",-29,138.505556,4498913,4831094,2749014,40
"SAMR_44934_Ct_taen","C. euclae","C. taeniolatus",-29.758,138.667778,4651474,8076208,4752541,67
"SAMR_44955_Ct_stra","C. strauchii 1","C. strauchii",-29.545,139.4117,4197535,5352892,3185542,38
"SAMR_45029_Ct_stra","C. strauchii 1","C. strauchii",-26.385,140.345,4341110,4098000,2406469,35
"SAMR_45040_Ct_joan","C. joanae","C. joanae",-26.306,140.331944,2965005,1575912,1225520,13
"SAMR_45215_Ct_brac","C. inornatus 1","C. brachyonyx",-34.958,140.833333,980682,685388,258132,11
"SAMR_45385_Ct_pian","C. piankai 1","C. piankai",-27.004,131.355,3788272,5318774,3610652,33
"SAMR_45528_Ct_pant","C. pantherinus","C. pantherinus",-31.624,133.451389,3151323,2789592,1463982,26
"SAMR_45608_Ct_dux","C. dux","C. dux",-27.043,131.2933,5023294,2969180,2020951,26
"SAMR_46072_Ct_eucl","C. euclae","C. euclae",-33.093,136.693889,2164534,980602,606345,12
"SAMR_46165_Ct_dux","C. dux","C. dux",-26.517,129.2019,4945475,4000242,2668749,34
"SAMR_46664_Ct_eucl","C. euclae","C. euclae",-33.206,134.597222,52304,37324,20282,6
"SAMR_46857_Ct_stra","C. strauchii 1","C. strauchii",-26.524,134.4419,4365640,3373142,2021312,30
"SAMR_46967_Ct_sept","C. septenarius","C. septenarius",-26.16,134.431944,3977956,3153616,1676026,28
"SAMR_47028_Ct_robu","C. spaldingi 5","C. robustus",-36.738,140.239722,2892923,3728298,1836905,28
"SAMR_47236_Ct_regi","C. regius","C. regius",-28.951,136.781944,3396192,1199450,842077,13
"SAMR_48330_Ct_regi","C. regius","C. regius",-32.053,140.927222,4436056,2123262,1580389,20
"SAMR_48588_Ct_dux","C. dux","C. dux",-27.374,130.3622,31028,30046,18652,6
"SAMR_48698_Ct_gran","C. hanloni","C. grandis",-27.014,129.87,2475041,4849966,2188575,55
"SAMR_48771_Ct_gree","C. greeri","C. greeri",-27.027,129.815,4525090,2718856,1853977,19
"SAMR_48772_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-27.027,129.815,3458215,2228526,1384331,21
"SAMR_48807_Ct_pian","C. piankai 1","C. piankai",-27.329,130.293333,3829324,4080646,2831364,28
"SAMR_48821_Ct_gran","C. grandis","C. grandis",-27.337,130.2375,5095457,2838684,1976632,26
"SAMR_48964_Ct_olym","C. olympicus","C. olympicus",-30.79,137.400556,3444715,2761366,1622927,22
"SAMR_49090_Ct_leon","C. leonhardii 1","C. leonhardii",-27.208,140.894444,5247304,4331978,2838248,26
"SAMR_49196_Ct_leon","C. leonhardii 1","C. leonhardii",-30.185,139.598889,227210,105618,63622,7
"SAMR_50208_Ct_saxa","C. inornatus 1","C. saxatilis",-26.141,132.359167,1623006,3820086,1335687,40
"SAMR_50209_Ct_saxa","C. inornatus 1","C. saxatilis",-26.141,132.359167,1377424,1742698,624803,19
"SAMR_51082_Ct_leon","C. leonhardii 1","C. leonhardii",-19.65,134.183333,4156243,3779004,2314691,30
"SAMR_51089_Ct_saxa",NA,"C. saxatilis",-19.65,134.183333,NA,NA,NA,NA
"SAMR_51539_Ct_sept","C. septenarius","C. septenarius",-26.253,131.480278,289185,155970,72040,6
"SAMR_51580_Ct_leon","C. leonhardii 1","C. leonhardii",-26.277,131.460556,5707516,5043348,3404721,34
"SAMR_52956_Ct_robu","C. spaldingi 5","C. robustus",-30.119,139.448333,2273580,885330,580742,12
"SAMR_53150_Ct_olym","C. olympicus","C. olympicus",-31.773,138.803889,39908,41104,23110,6
"SAMR_53975_Ct_saxa","C. superciliaris 1","C. saxatilis",-21.5,133.9,3870597,8812548,6088304,56
"SAMR_54008_Ct_saxa","C. inornatus 1","C. saxatilis",-21.506,133.893889,1443313,1491660,534876,18
"SAMR_54024_Ct_joan","C. joanae","C. joanae",-18.592,136.089444,4708305,6656834,5129726,26
"SAMR_54025_Ct_pulc","C. pulchellus 2","C. pulchellus",-18.592,136.0894,3823256,2705630,2036656,22
"SAMR_54030_Ct_pulc","C. pulchellus 2","C. pulchellus",-18.592,136.089444,5427006,6286026,4627260,24
"SAMR_54340_Ct_late","C. inornatus 1","C. lateralis",-20.775,139.7856,1930075,2065548,745710,21
"SAMR_54432_Ct_pant","C. pantherinus","C. pantherinus",-19.395,140.236667,2761687,4385900,1914354,42
"SAMR_54434_Ct_late","C. inornatus 1","C. lateralis",-19.395,140.236667,1960291,2753656,1054543,29
"SAMR_54494_Ct_zebr","C. zebrilla","C. zebrilla",-20.253,144.4656,4553837,5722256,2938624,31
"SAMR_54511_Ct_zebr","C. zebrilla","C. zebrilla",-20.164,144.5183,4489356,2642824,1822060,22
"SAMR_55208_Ct_atla","C. atlas","C. atlas",-33.741,140.0483,3103729,1754774,934732,18
"SAMR_55275_Ct_joan","C. joanae","C. joanae",-21.9,139.996944,4472555,6426038,5042464,28
"SAMR_55637_Ct_arca","C. arcanus","C. arcanus",-24.357,150.960556,5787215,3420926,2511428,19
"SAMR_55638_Ct_arca","C. arcanus","C. arcanus",-24.357,150.960556,4654692,3214542,2362754,26
"SAMR_55674_Ct_pant","C. pantherinus","C. pantherinus",-21.346,145.05,2194826,2851766,1235413,25
"SAMR_55678_Ct_hebe","C. hebetior","C. hebetior",-21.092,145.004444,3245980,2351764,1388556,22
"SAMR_55725_Ct_spal","C. spaldingi 2","C. spaldingi",-20.624,144.399722,2386725,5710124,2843173,45
"SAMR_55734_Ct_stra","C. strauchii 3","C. strauchii",-20.824,141.7464,5047700,2147380,1432328,15
"SAMR_55746_Ct_robu","C. spaldingi 5","C. robustus",-20.975,141.891667,3034066,1948882,1210528,23
"SAMR_55874_Ct_euta","C. inornatus 1","C. eutaenius",-20.089,146.2525,1120356,603090,223363,9
"SAMR_55881_Ct_robu","C. spaldingi 5","C. robustus",-24.198,146.550833,1098731,327638,183125,7
"SAMR_55891_Ct_robu","C. spaldingi 5","C. robustus",-24.86,146.255833,323626,138350,80396,6
"SAMR_56476_Ct_dux","C. dux","C. dux",-27.077,129.7728,4236716,2021822,1347784,19
"SAMR_56616_Ct_atla",NA,"C. atlas",-32.985,135.7517,5921620,3665200,2816843,27
"SAMR_57397_Ct_atla","C. atlas","C. atlas",-33.393889,137.342778,4459460,5049464,2809276,41
"SAMR_57650_Ct_atla","C. atlas","C. atlas",-33.186389,136.843889,3885,27492,11533,7
"SAMR_58425_Ct_orie",NA,"C. orientalis",-33.721,135.126944,NA,NA,NA,NA
"SAMR_58939_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-29.061,130.293889,3854329,8060632,5158696,57
"SAMR_60360_Ct_atla","C. atlas","C. atlas",-29.499,129.3319,4472151,5242276,3021094,43
"SAMR_62029_Ct_calu","C. calurus 1","C. calurus",-24.6286,128.7556,3246838,1343652,972723,14
"SAMR_62031_Ct_dux","C. dux","C. dux",-24.6286,128.7556,4648125,2662120,1577484,21
"SAMR_62088_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-24.5594,128.7097,2636285,1008896,660937,12
"SAMR_62121_Ct_scho","C. schomburgkii 1","C. schomburgkii",-25.9325,128.4411,2865233,1243572,817150,13
"SAMR_62131_Ct_leon","C. leonhardii 2","C. leonhardii",-25.9308,128.4494,3983256,2071982,1304698,19
"SAMR_62172_Ct_scho","C. schomburgkii 1","C. schomburgkii",-25.9386,128.3897,1707595,683150,435607,10
"SAMR_65339_Ct_late","C. inornatus 1","C. lateralis",-22.385,139.8564,449227,249228,97906,8
"SAMR_65346_Ct_hebe","C. hebetior","C. hebetior",-22.39056,139.9589,3885451,2089406,1347127,19
"SAMR_65347_Ct_hebe","C. hebetior","C. hebetior",-22.39056,139.9589,4263327,2347400,1428285,20
"SAMR_65379_Ct_hebe","C. hebetior","C. hebetior",-24.07556,143.1897,3500597,2304750,1649028,20
"SAMR_65380_Ct_hebe","C. hebetior","C. hebetior",-24.07556,143.1897,3561337,4168676,1958456,44
"SAMR_65381_Ct_scho","C. schomburgkii 1","C. schomburgkii",-24.07556,143.1897,4058933,2745190,1967449,23
"SAMR_65407_Ct_late","C. inornatus 1","C. lateralis",-24.10167,143.0175,2305073,4644506,1792456,48
"SAMR_65416_Ct_late","C. inornatus 1","C. lateralis",-24.13611,143.2017,2176114,3968726,1465728,40
"SAMR_65418_Ct_agre","C. agrestis","C. agrestis",-24.14,143.3392,6175954,3357782,2615736,26
"UMMZ_242606_Ct_aust","C. australis","C. australis",-26.6578,113.64763,4642790,5019822,3269410,36
"UMMZ_242607_Ct_aust","C. australis","C. australis",-26.65758,113.64697,5431798,4905836,3044536,37
"UMMZ_242608_Ct_gran","C. grandis","C. grandis",-18.13731,123.52986,5428191,2830914,1861920,22
